dt(GPS)	frame	 LO(m)	 AO(rad)
196.9990	1237	0.0662	-0.0722
196.9990	1238	0.0680	-0.0729
197.9988	1239	0.0591	-0.0754
197.9988	1240	0.0587	-0.0770
197.9988	1241	0.0595	-0.0779
197.9988	1242	0.0598	-0.0790
197.9988	1243	0.0594	-0.0812
197.9988	1244	0.0594	-0.0823
198.9988	1245	0.0506	-0.0816
198.9988	1246	0.0507	-0.0820
198.9988	1247	0.0498	-0.0830
198.9988	1248	0.0481	-0.0846
198.9988	1249	0.0475	-0.0845
198.9988	1250	0.0483	-0.0817
199.9991	1251	0.0577	-0.0771
199.9991	1252	0.0598	-0.0694
199.9991	1253	0.0590	-0.0687
199.9991	1254	0.0577	-0.0697
199.9991	1255	0.0568	-0.0717
199.9991	1256	0.0552	-0.0746
200.9992	1257	0.0777	-0.0765
200.9992	1258	0.0746	-0.0792
200.9992	1259	0.0750	-0.0803
200.9992	1260	0.0772	-0.0827
200.9992	1261	0.0795	-0.0825
200.9992	1262	0.0809	-0.0830
201.9991	1263	0.0713	-0.0845
201.9991	1264	0.0714	-0.0858
201.9991	1265	0.0713	-0.0871
201.9991	1266	0.0703	-0.0882
201.9991	1267	0.0681	-0.0900
201.9991	1268	0.0682	-0.0908
202.9994	1269	0.0777	-0.0911
202.9994	1270	0.0783	-0.0865
202.9994	1271	0.0791	-0.0811
202.9994	1272	0.0815	-0.0781
202.9994	1273	0.0824	-0.0776
202.9994	1274	0.0807	-0.0795
203.9997	1275	0.0641	-0.0815
203.9997	1276	0.0629	-0.0833
203.9997	1277	0.0622	-0.0849
203.9997	1278	0.0624	-0.0856
203.9997	1279	0.0621	-0.0869
203.9997	1280	0.0622	-0.0890
204.9996	1281	0.0351	-0.0907
204.9996	1282	0.0361	-0.0910
204.9996	1283	0.0342	-0.0917
204.9996	1284	0.0340	-0.0908
204.9996	1285	0.0333	-0.0920
204.9996	1286	0.0336	-0.0929
205.9992	1287	0.0038	-0.0903
205.9992	1288	0.0038	-0.0879
205.9992	1289	0.0044	-0.0821
205.9992	1290	0.0047	-0.0767
205.9992	1291	0.0028	-0.0688
205.9992	1292	0.0006	-0.0651
206.9993	1293	0.1727	-0.0624
206.9993	1294	0.1733	-0.0617
206.9993	1295	0.1736	-0.0636
206.9993	1296	0.1727	-0.0649
206.9993	1297	0.1737	-0.0652
206.9993	1298	0.1772	-0.0668
207.9991	1299	0.4986	-0.0532
207.9991	1300	0.4992	-0.0547
207.9991	1301	0.4990	-0.0552
207.9991	1302	0.4981	-0.0569
207.9991	1303	0.4969	-0.0594
207.9991	1304	0.4978	-0.0594
208.9992	1305	0.1684	-0.0604
208.9992	1306	0.1694	-0.0606
208.9992	1307	0.1693	-0.0627
208.9992	1308	0.1688	-0.0632
208.9992	1309	0.1685	-0.0636
208.9992	1310	0.1684	-0.0648
209.9990	1311	0.0342	-0.0663
209.9990	1312	0.0345	-0.0678
209.9990	1313	0.0356	-0.0688
209.9990	1314	0.0351	-0.0633
209.9990	1315	0.0360	-0.0546
209.9990	1316	0.0382	-0.0466
210.9986	1317	0.0573	-0.0427
